date,total_cross,os_cross,sqz_cross
2017-02-07,1,0,0
2017-02-22,1,0,1
2017-03-01,1,0,1
2017-03-24,1,0,1
2017-04-12,1,0,0
2017-04-25,1,0,0
2017-05-04,1,0,1
2017-05-18,1,0,1
2019-10-15,1,1,0
2020-03-19,1,1,0
2020-05-27,1,0,1
2020-06-19,1,0,0
2020-07-17,1,0,1
2020-08-06,1,1,0
2020-08-20,1,0,1
2020-09-03,1,0,1
2020-09-28,1,0,1
2020-09-29,1,0,0
2020-09-30,1,0,1
2020-10-06,1,0,0
2020-10-27,1,0,1
2020-10-29,1,0,1
2020-11-05,1,0,1
2020-11-11,1,0,1
2020-12-03,1,0,0
2020-12-28,1,0,0
2021-01-05,2,0,0
2021-01-18,2,0,1
2021-02-04,1,0,1
2021-02-12,1,0,1
2021-02-19,1,0,0
2021-03-02,2,0,2
2021-03-15,1,0,1
2021-03-16,1,0,1
2021-03-23,1,0,1
2021-04-01,2,1,1
2021-04-12,1,1,0
2021-04-26,2,0,1
2021-05-07,1,0,0
2021-05-25,1,0,1
2021-06-04,1,0,0
2021-06-24,1,0,1
2021-07-02,1,0,1
2021-07-06,1,0,1
2021-07-09,1,0,1
2021-07-27,1,0,1
2021-08-25,1,0,0
2021-09-03,1,0,0
2021-09-27,1,0,1
2021-10-11,1,0,1
2021-10-19,2,0,1
2021-11-26,1,0,0
2021-12-03,1,0,0
2021-12-14,1,0,1
2021-12-24,1,0,1
2022-01-04,1,0,1
2022-02-09,1,0,0
2022-03-21,1,0,0
2022-05-31,1,0,0
2022-06-10,1,0,1
2022-06-13,1,1,0
2022-06-22,1,0,0
2022-06-23,2,0,1
2022-06-27,3,0,1
2022-07-04,1,0,0
2022-07-07,1,1,0
2022-07-19,2,0,0
2022-07-21,1,0,0
2022-07-28,1,0,1
2022-07-29,2,0,1
2022-08-01,1,0,0
2022-08-03,1,0,0
2022-08-05,1,0,1
2022-08-12,1,0,0
2022-08-18,2,0,0
2022-08-25,2,0,1
2022-08-30,1,0,1
2022-09-02,2,0,2
2022-09-05,1,0,1
2022-09-08,1,0,0
2022-09-13,2,0,2
2022-09-15,1,0,1
2022-09-19,2,0,0
2022-09-21,1,0,1
2022-09-29,1,0,1
2022-09-30,1,1,0
2022-10-04,1,0,1
2022-10-10,1,0,1
2022-10-14,2,0,2
2022-10-18,2,0,1
2022-10-19,1,0,1
2022-10-21,1,0,1
2022-10-24,1,0,1
2022-10-27,1,0,0
2022-11-01,1,0,1
2022-11-02,1,0,1
2022-11-03,2,0,1
2022-11-04,2,0,1
2022-11-07,1,0,1
2022-11-11,1,0,0
2022-11-18,1,0,0
2022-11-21,1,0,0
2022-11-25,1,0,1
2022-11-28,1,0,0
2022-12-01,2,0,0
2022-12-15,1,0,0
2022-12-21,1,0,1
2022-12-27,2,1,1
2022-12-28,2,0,0
2022-12-29,1,0,0
2023-01-09,1,1,0
2023-01-12,1,0,1
2023-01-16,2,0,2
2023-01-19,2,0,1
2023-01-23,1,0,1
2023-01-31,1,0,1
2023-02-01,2,1,1
2023-02-02,1,0,0
2023-02-06,2,0,1
2023-02-10,1,0,1
2023-02-16,1,0,0
2023-02-20,1,1,1
2023-02-23,1,1,0
2023-02-24,1,1,1
2023-02-27,1,0,0
2023-02-28,2,1,0
2023-03-02,1,0,0
2023-03-03,1,0,0
2023-03-17,1,0,1
2023-03-22,1,1,0
2023-03-29,2,0,1
2023-03-31,1,0,1
2023-04-03,2,0,1
2023-04-18,1,0,0
2023-04-21,1,0,0
2023-04-27,2,0,1
2023-04-28,1,0,1
2023-05-03,1,0,0
2023-05-04,1,0,0
2023-05-08,1,0,0
2023-05-10,1,0,1
2023-05-22,1,0,1
2023-05-23,1,0,1
2023-05-24,1,0,0
2023-05-25,1,0,1
2023-05-26,1,0,1
2023-05-30,1,0,1
2023-06-05,1,0,0
2023-06-06,1,0,0
2023-06-07,1,0,0
2023-06-13,1,0,0
2023-06-21,2,0,1
2023-06-28,2,0,2
2023-07-04,3,0,1
2023-07-05,1,0,0
2023-07-17,1,0,0
2023-07-19,1,0,0
2023-07-21,1,0,1
2023-07-25,1,0,0
2023-07-26,1,0,1
2023-07-27,1,0,1
2023-08-04,1,0,0
2023-08-09,1,0,0
2023-08-16,1,0,0
2023-08-21,1,0,0
2023-08-22,1,0,1
2023-08-23,1,0,0
2023-08-28,2,0,1
2023-08-31,1,0,1
2023-09-05,1,0,1
2023-09-08,2,0,0
2023-09-11,1,0,0
2023-09-26,2,1,1
2023-09-28,2,0,1
2023-09-29,1,0,0
2023-10-04,1,0,0
2023-10-06,1,0,0
2023-10-11,1,0,1
2023-10-17,1,0,1
2023-10-18,3,0,3
2023-10-19,1,0,1
2024-01-05,1,0,1
2024-01-31,1,0,0
2024-02-20,1,0,0
2024-02-26,1,0,0
2024-03-02,1,0,0
2024-04-01,1,1,0
2024-04-24,1,0,0
2024-05-02,1,0,1
2024-05-16,1,0,1
2024-05-27,1,1,0
2024-06-11,1,0,0
